ID,Individual Characteristics,Career Pathway,Research Funding Process,Organisational Culture
82,Sex,"Mentorship & Sponsorship, Career Progression",,
83,Career Stage,"Leadership Development, Mentorship & Sponsorship",,
84,Career Stage,Mentorship & Sponsorship,,
85,,"Mentorship & Sponsorship, Diverse Leadership",,Cultural Competency
86,Sex,"Barrier Removal, Professional Development, Network Development",,
87,Sex,,,"Research Design, Systemic Change"
89,,,,Accessible & Inclusive Workspaces
91,,,,Accessible & Inclusive Workspaces
92,,"Recruitment Strategies, Professional Development, Barrier Removal",,"Research Design, Systemic Change, Diverse Representation"
94,Sex,,,"Research Design, Policy Review & Reform"
95,,,,Inclusive Language
96,Disability,,,Accessible & Inclusive Workspaces
97,Job Roles,Visibility & Recognition,,Policy Review & Reform
98,,Pipeline Development,,"Diverse Representation, Work-Life Balance, Policy Review & Reform, Systemic Change, Accessible & Inclusive Workspaces, Adaptive Research Enviroments"
99,Race,,,"Harassment, Bullying And Microagression Prevention"
100,"Sex, Caring Responsiblities, Race, Career Stage, Disability",Equitable Opportunities,"Panel Diversity, Bias Mitigation, Resource Allocation, Application Processes","Anti-discrimination Measures, Accessible & Inclusive Workspaces, Diverse Representation"
101,,,"Bias Mitigation, Panel Diversity, Application Support, Peer Review, Eligiblity Criteria, Addressing Structural Inequality, Advertising Approach, Application Processes",
102,"Sex, Race, Sexual Orientation, Trans Identity, Caring Responsiblities, Disability",,"Bias Mitigation, Eligiblity Criteria, Peer Review, Application Processes",
103,Disability,,,Accessible & Inclusive Workspaces
104,,"Mentorship & Sponsorship, Equitable Opportunities, Networking & Collaboration",,
105,Disability,,,Accessible & Inclusive Workspaces
