ID,Title,Link,Individual Characteristics,Career Pathway,Research Funding Process,Organisational Culture
23,Exploring The Workplace For LGBT+ Physical Scientists,https://www.rsc.org/policy-evidence-campaigns/inclusion-diversity/surveys-reports-campaigns/lgbt-report/,"Sexual Orientation, Trans Identity",,,"Policy Review & Reform,  Cultural Competency, Belonging Initiatives,"
24,Considering International Mobility For LGBT+ Scientists,https://www.rsc.org/globalassets/22-new-perspectives/talent/inclusion-and-diversity/resources/lgbt-toolkit/considering-lgbt-international-mobility.pdf,"Trans Identity, Sexual Orientation",,,Policy Review & Reform
25,An Employer's Guide to ADHD In the Workplace ,https://www.scottishadhdcoalition.org/wp-content/uploads/2018/03/Employers-guide-to-ADHD-SAC-2018.pdf,Neurodiversity,,,Accessible & Inclusive Workspaces
27,Comprehensive Guidance on Modifying Existing Lab Spaces to Enable Equal Access to Disabled Students,https://robertaerichardson.wixsite.com/stemenabled,"Disability, Neurodiversity",,,"Awareness Training, Accessible & Inclusive Workspaces, "
29,"Who You Should Hire, Fire & Promote",https://www.youtube.com/watch?app=desktop&v=cAs49Cl4kJ8,Not Specified,"Recruitment Strategies, Diverse Leadership",,
32,Using Pronouns in The Workplace,https://www.lawsociety.org.uk/topics/hr-and-people-management/using-pronouns-in-the-workplace,Sexual Orientation,,,Inclusive Language
33,Accessibility Posters,https://github.com/UKHomeOffice/posters/blob/master/accessibility/dos-donts/posters_en-UK/accessibility-posters-set.pdf,"Disability, Neurodiversity, Temporary Impairment, ",,,Accessible & Inclusive Workspaces
35,UKRI Good Practice Principles in Recruitment and Training at A Doctoral Level,https://www.ukri.org/publications/ukri-good-practice-principles-in-recruitment-and-training-at-a-doctoral-level/,Not Specified,"Recruitment Strategies, Pipeline Development, Professional Development",,"Management structures, Monitoring and evaluation"
36,"Equality, Diversity and Inclusion Champions",https://www.york.ac.uk/about/departments/support-and-admin/edo/champions/,Not Specified,,,"Belonging Initiatives, Diverse Representation, Cultural Competency"
38,Making Meetings and Events Accessible,https://documents.manchester.ac.uk/display.aspx?DocID=11993,Not Specified, Career Progression,,Accessible & Inclusive Workspaces
39,Towards Diverse Workforces: Transforming The Language of Exclusion and Bias in Recruitment ,https://www.stemm-change.co.uk/wp-content/uploads/2021/06/Transforming-the-Language-of-Exclusion-and-Bias-in-Recruitment-June-2021x.pdf,Not Specified,"Recruitment Strategies, Barrier Removal ",,Inclusive Language
40,Best Practice Guide: Developing Inclusive Conferences,https://reachwater.org.uk/wp-content/uploads/2019/05/2019_05_22_Inclusive-Conference-Guide.pdf,Not Specified,,,"Accessible & Inclusive Workspaces, Diverse Representation,  Harassment, Bullying and Microagression Prevention"
41,HR EDI Online Inclusive Recruitment Guide,https://www.st-andrews.ac.uk/hr/edi/inclusiverec/,Not Specified,Recruitment Strategies,,
42,"Equality, Diversity and Inclusion Champions",https://www.sussex.ac.uk/equalities/networks/equalitydiversityandinclusionchampions,Not Specified,,,"Belonging Initiatives, Diverse Representation, Cultural Competency"
44,100 Black Women Professors Now Impact Report ,https://s3.amazonaws.com/kajabi-storefronts-production/file-uploads/sites/45828/downloads/a604721-38ee-61e6-072f-4a0cefa64c6_100BWPN_Impact_Report_2024.pdf,"Race, Sex","Professional Development, Career Progression, Career Retention, Visibility & Recognition, Diverse Leadership",,"Belonging Initiatives, Cultural Competency, Systemic Change"
46,SCUPLT For Accessibility ,https://www.worcestershire.gov.uk/sites/default/files/2024-12/FINAL%20sculpt%20infographic%20UpdatedV2.1%20%281%29.pdf,,,,Accessible & Inclusive Workspaces
47,National Association of Disabled Staff Networks,https://www.nadsn-uk.org/,Disability,,," Belonging Initiatives,  Employee Resource Groups "
48,Association For Black and Ethnic Minority Engineers,https://www.afbe.org.uk/,Race,Pipeline Development,,
52,Tech Talent Charter Toolkit,https://www.techtalentcharter.co.uk/,Not Specified,"Recruitment Strategies, Career Progression, Retention Strategies, Diverse Leadership",,Cultural Competency
53,Neuro-Inclusive Meetings and Events Toolkit ,https://leeds365.sharepoint.com/:p:/r/sites/TEAM-EPSRCEDIHubPlus/Shared%20Documents/Workstream%202%20-%20Resource%20Centre/Supporting%20Material/EPSRC-Neuro-Inclusion-Meetings-and-Events-Toolkit%20-%20Copy.pptx?d=wb9680e47395240628139d66721f2e57b&csf=1&web=1&e=p5e7cB,Neurodiversity,,,Accessible & Inclusive Workspaces
54,"Equality, Diversity and Inclusion Strategies in STEM - Briefing",https://www.britishscienceassociation.org/Handlers/Download.ashx?IDMF=b0479031-7e8b-4a0e-b3c6-80b7c383a183,Not Specified,Pipeline Development,,"Diverse Representation, Policy Review & Reform, Data Collection & Monitoring, Accessible & Inclusive Workspaces, Inclusive Leadership"
55,"Mission Critical Toolkit: Improving National Security Culture, Diversity & Inclusion",01122021_Mission Critical Toolkit_DIGITAL.pdf,"Sex, Race, Disability, Neurodiversity, Socio-Economic Background, Religion or Belief","Recruitment Strategies, Visibility & Recognition, Career Progression, Mentorship & Sponsorship","Application Processes, Advertising Approach","Cultural Competency, Inclusive Language, Accessible & Inclusive Workspaces, Inclusive Leadership, Harassment, Bullying and Microagression Prevention, Bias, Work-Life Balance"
56,Advanced Strategic Platform for Inclusive Research Environments (ASPIRE),https://eleanorglanvilleinstitute.lincoln.ac.uk/research/inclusive-environments/aspire/,Not Specified,,,"Inclusive Workplaces, Disseminating good practice, Barrier Removal"
57,Evidence-Base; Growing the Big Grant Club (EBASE) ,https://ebaseevidencebase.wordpress.com/,"Sex, Race, Trans Identity, Sexual Orientation", Leadership Development,,Systemic Change
58,Inclusion Really Does Matter,https://www.qub.ac.uk/sites/InclusionReallyDoesMatter/,Sex,,," Diverse Representation, Policy Review & Reform "
59,Creating An Inclusive Environment,https://www.advance-he.ac.uk/guidance/equality-diversity-and-inclusion/creating-inclusive-environment,Not Specified,,,"Accessible & Inclusive Workspaces, Harassment, Bullying and Microagression Prevention, Belonging Initiatives, Policy Review & Reform"
62,STEM Equals,https://www.stemequals.ac.uk/,"Sex, Sex, Trans Identity, Sexual Orientation","Recruitment Strategies, Career Progression,  Leadership Development, Retention Strategies, Visibility & Recognition", Targeted Grants, Belonging Initiatives
63,STEMM-Change,https://www.stemm-change.co.uk/project-overview/,Not Specified,"Barrier Removal, Recruitment Strategies, Mentorship & Sponsorship", Targeted Grants,
64,Let’s Be Clear About EDI: Conversation Guides/Aids from University of Nottingham,https://www.nottingham.ac.uk/edi/edi-conversation-guides.aspx,Not Specified,,,Accessible & Inclusive Workspaces
65,Social Inclusion Projects,https://warwick.ac.uk/services/socialinclusion/projects/,,"Recruitment Strategies, Diverse Leadership",," Cultural Competency,  Systemic Change"
67,Code Of Conduct ,https://www.kcl.ac.uk/policyhub,Not Specified,,,Organisational Culture
70,Report And support ,https://www.reportandsupport.manchester.ac.uk/,Not Specified,,,"Harassment, Bullying and Microagression Prevention"
71,Report + Support ,https://reportandsupport.nottingham.ac.uk/,Not Specified,,,"Harassment, Bullying and Microagression Prevention"
72,Tackling Racism and Racial Harassment: Directory of Initiatives at UK Universities,https://www.universitiesuk.ac.uk/what-we-do/policy-and-research/publications/tackling-racism-and-racial-harassment,Race,"Pipeline Development, Diverse Leadership", Targeted Grants,Systemic Change
73,Majority Allies,https://raeng.org.uk/policy-and-resources/diversity-and-inclusion-research-and-resources/inclusive-cultures/majority-allies,Not Specified,,," Belonging Initiatives, Allyship & Advocacy"
76,Promoting EDI In University Spinout Companies,https://www.brookes.ac.uk/Research/Units/OBBS/Projects/Women-and-Spinouts/,Sex," Barrier Removal,  Equitable Opportunities, Development Opportunities",,
79,Inclusive Cultures Toolkit,https://raeng.org.uk/policy-and-resources/diversity-and-inclusion-research-and-resources/inclusive-cultures/inclusive-cultures-toolkit,Not Specified," Career Progression, Recruitment Strategies, Mentorship & Sponsorship, Diverse Leadership",,"Diverse Representation, Policy Review & Reform, Employee Resource Groups, Cultural Competency"
80,Research Fellowships,"https://www.raeng.org.uk/grants-prizes/grants/support-for-research/raeng-research-fellowship?dm_i=4S2P,JECP,24GQFK,2B8EM,1",Career Stage,Career Progression," Application Support, Securing Funding",
81,Research Chairs and Senior Research Fellowship,https://www.raeng.org.uk/grants-prizes/grants/support-for-research/research-chairs?dm_i,Career Stage, Leadership Development," Application Support, Securing Funding",
82,Mentoring And Political Education Programme,https://www.fabianwomen.org.uk/mentoring,Sex," Mentorship & Sponsorship, Career Progression",,
83,Future Leaders Fellows Development Network - Mentorship Programme ,https://www.flfdevnet.com/mentoring/,Career Stage," Leadership Development,  Mentorship & Sponsorship",,
84,Early Career Mentoring Programme,https://connectedeverything.ac.uk/early-career-mentoring-programme/,Career Stage, Mentorship & Sponsorship,,
85,Reverse Mentoring,https://www.stemm-change.co.uk/home/reverse-mentoring/,Not Specified," Mentorship & Sponsorship, Diverse Leadership",,Cultural Competency
86,The VisNet Project,https://www.gla.ac.uk/colleges/scienceengineering/research/visnet/,Sex,"Barrier Removal, Professional Development, Network Development",,
87,Toolkit For Integrating Gender-Sensitive Approach into Research and Teaching,https://eige.europa.eu/sites/default/files/garcia_toolkit_gender_research_teaching.pdf,Sex,,,"Research Design, Systemic Change"
89,Inclusive Design Toolkit,http://www.inclusivedesigntoolkit.com/,Not Specified,,,Accessible & Inclusive Workspaces
91,6 Principles for Inclusive Design,https://uxplanet.org/6-principles-for-inclusive-design-3e9867f7f63e,Not Specified,,,Accessible & Inclusive Workspaces
92,"Best Practices in Equity, Diversity and Inclusion in Research",https://www.sshrc-crsh.gc.ca/funding-financement/nfrf-fnfr/edi-eng.aspx#5,Not Specified,"Recruitment Strategies, Professional Development,  Barrier Removal",,"Research Design, Systemic Change, Diverse Representation"
94,Gendered Innovations,http://genderedinnovations.stanford.edu/what-is-gendered-innovations.html,Sex,,,"Research Design, Policy Review & Reform"
95,Top Tips on Inclusive Teaching,https://www.iop.org/sites/default/files/2019-07/IGB-10-tips-whole-school-poster.pdf,Not Specified,,,Inclusive Language
96,Introduction To Web Accessibility,https://www.w3.org/WAI/fundamentals/accessibility-intro/#what,Disability,,,Accessible & Inclusive Workspaces
97,Recognising Authors (CRediT),http://eprints.gla.ac.uk/201273/1/201273.pdf,Job Roles,Visibility & Recognition ,,Policy Review & Reform
98,RAI EDI Toolkit,https://rai.ac.uk/toolkits/edi-toolkit/,Not Specified,Pipeline Development,,"Diverse Representation, Work-Life Balance, Policy Review & Reform, Systemic change,Accessible & Inclusive Workspaces, Adaptive research enviroments, Systemic Change"
99,Tackling Racial Harassment in Higher Education,https://www.universitiesuk.ac.uk/what-we-do/policy-and-research/publications/tackling-racial-harassment-higher,Race,,,"Harassment, Bullying and Microagression Prevention"
100,"Promoting Equality, Diversity and Inclusion in Research and Funding: Reflections from A Digital Manufacturing Research Network",https://link.springer.com/article/10.1186/s41073-024-00144-w,"Sex, Caring Responsiblities, Race, Career Stage, Disability", Equitable Opportunities,"Panel Diversity, Bias Mitigation, Resource Allocation, Application Processes","Anti-discrimination measures, Accessible & Inclusive Workspaces, Diverse Representation"
101,Gathering Good Practices For Inclusive University Selection Processes,https://www.ukri.org/wp-content/uploads/2025/06/EPSRC-200625-GatheringGoodPracticesInclusiveUniversitySelectionProcesses.pdf,Not Specified,,"Bias Mitigation, Panel Diversity, Application Support, Peer Review, Eligiblity Criteria, Addressing Structural Inequality, Advertising Approach, Application Processes",
102,EDICA - Evidence Review: Peer Review Bias in The Funding Process: Main Themes and Interventions,https://researchportal.hw.ac.uk/en/publications/evidence-review-peer-review-bias-in-the-funding-process-main-them,"Sex, Race, Sexual Orientation, Trans Identity, Caring Responsiblities, Disability",,"Bias Mitigation, Eligiblity Criteria, Bias Mitigation, Eligiblity Criteria, Peer Review, Application Processes",
103,Lab Access Guidelines,https://www.uea.ac.uk/groups-and-centres/projects/access-all-areas-in-labs/access-guidelines,Disability,,,Accessible & Inclusive Workspaces
104,Northern Power Inclusion Matters Toolkit,https://collections.durham.ac.uk/files/r1gf06g267h,Not Specified,"Mentorship & Sponsorship, Equitable Opportunities, Networking & Collaboration",,
105,Towards A Fully Inclusive Environment for Disabled People In STEMM: A NADSN White Paper,https://www.nadsn-uk.org/wp-content/uploads/2025/04/NADSN_STEMM_White_Paper_090425-v0.3.pdf,Disability,,,Accessible & Inclusive Workspaces
